TIME,CANADA,FRANCA,ALEMANHA,ITALIA,JAPAO,REINO_UNIDO,USA,BRASIL
1997,87,109,110,92,140,116,100,62
1998,82,110,111,92,131,123,103,61
1999,82,104,104,88,146,120,102,41
2000,89,92,94,80,154,114,107,44
2001,89,92,94,82,139,112,113,38
2002,88,95,97,87,128,116,112,33
2003,91,109,105,98,125,118,104,33
2004,94,115,108,105,123,124,99,34
2005,99,112,107,105,116,127,99,43
2006,107,113,107,104,107,129,100,51
2007,109,118,111,107,99,137,97,57
2008,109,122,114,109,107,122,94,63
2009,104,119,112,106,121,109,99,64
2010,117,111,105,101,125,107,98,78
2011,120,112,105,101,129,108,96,84
2012,123,107,100,95,129,110,99,81
2013,121,110,105,100,106,111,102,81
2014,115,111,106,102,101,119,103,80
2015,111,102,98,93,97,120,114,68
2016,105,100,96,90,112,108,116,71
